date,regime,tau,rs_value,q_stop,delta_lambda,note
2008-09-29,Rigid,0.039774359590938585,0.9610062565348569,0.01,1.450540165254138,Regime changed from Gapless to Rigid
2008-10-01,Gapless,0.02652295741303674,0.9738256870603855,0.01,0.9672717656452131,Regime changed from Rigid to Gapless
2008-10-02,Rigid,0.05358987190676839,0.9478207547174324,0.01,1.9543812257709203,Regime changed from Gapless to Rigid
2008-10-13,Critical,0.9900671803543458,0.3715517292067574,0.4,36.106985157620784,Regime changed from Rigid to Critical
2009-01-12,Rigid,0.07702347575264176,0.9258681179004506,0.01,2.8089866536063215,Regime changed from Critical to Rigid
2009-01-21,Gapless,0.026148609256545663,0.9741903051538778,0.01,0.9536195775933191,Regime changed from Rigid to Gapless
2009-01-22,Rigid,0.030676987321076248,0.9697887765596613,0.01,1.118766027055044,Regime changed from Gapless to Rigid
2009-01-28,Gapless,0.021118254013540456,0.9791031748431992,0.01,0.7701664082520799,Regime changed from Rigid to Gapless
2010-06-16,Rigid,0.030315973511267722,0.9701389469049587,0.01,1.1056001323247617,Regime changed from Gapless to Rigid
2010-06-18,Gapless,0.02053820641560047,0.979671266031939,0.01,0.7490125204906082,Regime changed from Rigid to Gapless
2010-06-22,Rigid,0.028997518504846338,0.9714188750348445,0.01,1.057517096857603,Regime changed from Gapless to Rigid
2010-06-23,Gapless,0.006410672530538537,0.9936098319912859,0.01,0.23379227440675177,Regime changed from Rigid to Gapless
2010-06-25,Rigid,0.03109449861347098,0.9693839633071425,0.01,1.133992341326203,Regime changed from Gapless to Rigid
2010-06-30,Gapless,0.022519233925460094,0.9777324313797771,0.01,0.8212590632653516,Regime changed from Rigid to Gapless
2010-07-01,Rigid,0.0411647772207935,0.9596709850010297,0.01,1.5012476220007578,Regime changed from Gapless to Rigid
2010-07-22,Gapless,0.007856083467732105,0.9921746949041027,0.01,0.2865052945850717,Regime changed from Rigid to Gapless
2011-07-19,Rigid,0.03553133876890663,0.9650924889455934,0.01,1.2958004739639446,Regime changed from Gapless to Rigid
2011-07-20,Gapless,0.024863066745153404,0.9754434735333679,0.01,0.9067368353922108,Regime changed from Rigid to Gapless
2011-08-08,Critical,1.009202453400237,0.3645095770473605,0.2,36.804833782001744,Regime changed from Gapless to Critical
2011-10-20,Rigid,0.0678110197421952,0.9344370470462914,0.01,2.4730155002999585,Regime changed from Critical to Rigid
2011-10-26,Gapless,0.01469545979446974,0.9854119914822311,0.01,0.5359320652295803,Regime changed from Rigid to Gapless
2011-10-27,Rigid,0.07774298285672845,0.9252021888112579,0.01,2.835226521812803,Regime changed from Gapless to Rigid
2011-10-31,Gapless,0.003505583859851315,0.9965005535254471,0.01,0.12784593501134411,Regime changed from Rigid to Gapless
2011-11-07,Rigid,0.03568541129961982,0.96494380615771,0.01,1.3014193801251077,Regime changed from Gapless to Rigid
2011-11-08,Gapless,0.02347466942168345,0.9767987172318772,0.01,0.8561030576585946,Regime changed from Rigid to Gapless
2011-11-09,Rigid,0.036131619963698104,0.9645133359179714,0.01,1.3176922653704404,Regime changed from Gapless to Rigid
2011-11-16,Gapless,0.022388880006076806,0.9778598909415618,0.01,0.8165051565347745,Regime changed from Rigid to Gapless
2011-11-21,Rigid,0.029618959221259653,0.970815383329786,0.01,1.0801805596701428,Regime changed from Gapless to Rigid
2011-11-22,Gapless,0.01992435585169147,0.9802728224050081,0.01,0.7266258646758716,Regime changed from Rigid to Gapless
2011-11-25,Rigid,0.027948260994080504,0.9724386785102406,0.01,1.019251486079368,Regime changed from Gapless to Rigid
2011-11-28,Gapless,0.02479831926075516,0.9755066330891411,0.01,0.9043755446590669,Regime changed from Rigid to Gapless
2011-11-29,Rigid,0.03041492861026376,0.9700429514591256,0.01,1.109208948334037,Regime changed from Gapless to Rigid
2011-12-06,Gapless,0.026276267787452155,0.9740659493884045,0.01,0.958275185588561,Regime changed from Rigid to Gapless
2015-09-23,Rigid,0.05049793245282683,0.9507558944029566,0.01,1.841620582668122,Regime changed from Gapless to Rigid
2015-10-02,Critical,0.9485458335082043,0.38730381839140715,0.2,34.59273371686351,Regime changed from Rigid to Critical
2015-10-16,Gapless,0.026882984419637327,0.9734751466191217,0.01,0.9804016724248898,Regime changed from Critical to Gapless
2015-10-19,Rigid,0.0428252289637966,0.9580788198637771,0.01,1.5618030142299,Regime changed from Gapless to Rigid
2015-10-20,Gapless,0.005605920626534209,0.9944097632253389,0.01,0.2044435942060287,Regime changed from Rigid to Gapless
2019-01-18,Rigid,0.02983806006313865,0.9706027001623707,0.01,1.0881709980997005,Regime changed from Gapless to Rigid
2019-02-01,Gapless,0.021843061911107537,0.978393770251622,0.01,0.796599592301484,Regime changed from Rigid to Gapless
2020-03-05,Rigid,0.07255997182377479,0.9300099705937337,0.01,2.64620611375154,Regime changed from Gapless to Rigid
2020-03-09,Critical,1.261870379291997,0.28312398172941694,0.4,46.01943783211827,Regime changed from Rigid to Critical
2020-05-08,Rigid,0.11567999913243915,0.8907602217389115,0.01,4.21876019586233,Regime changed from Critical to Rigid
2020-05-13,Gapless,0.016147137422551097,0.983982528750321,0.01,0.5888736267830337,Regime changed from Rigid to Gapless
2020-05-20,Rigid,0.02896994970842403,0.9714456562532124,0.01,1.056511684151288,Regime changed from Gapless to Rigid
2020-05-22,Gapless,0.023430252055337168,0.9768421050219256,0.02,0.8544831906240852,Regime changed from Rigid to Gapless
2022-06-13,Rigid,0.028642009991259355,0.9717642841094739,0.01,1.0445519760272177,Regime changed from Gapless to Rigid
2022-06-15,Gapless,0.02062407967738692,0.9795871420768973,0.01,0.7521442520036659,Regime changed from Rigid to Gapless
2022-06-16,Rigid,0.027718645098937875,0.9726619915250058,0.01,1.0108775717810459,Regime changed from Gapless to Rigid
2022-06-17,Gapless,0.020509725950216214,0.9796991679228467,0.01,0.7479738599215916,Regime changed from Rigid to Gapless
2022-06-22,Rigid,0.03530207200721322,0.9653137779414049,0.01,1.2874392922927806,Regime changed from Gapless to Rigid
2022-06-23,Gapless,0.025770769214241856,0.9745584628079609,0.01,0.9398400431636093,Regime changed from Rigid to Gapless
2022-06-24,Rigid,0.05380350196190756,0.9476182933440273,0.01,1.962172148834718,Regime changed from Gapless to Rigid
2022-06-28,Gapless,0.021355943237985068,0.9788704802245167,0.01,0.7788347506327217,Regime changed from Rigid to Gapless
2022-06-29,Rigid,0.027531914989501343,0.9728436337636377,0.01,1.0040676689545602,Regime changed from Gapless to Rigid
2022-07-05,Gapless,0.009811771205636713,0.9902362071756067,0.01,0.357827715453714,Regime changed from Rigid to Gapless
2022-07-12,Rigid,0.027774691599804776,0.9726074787514939,0.01,1.012921544367041,Regime changed from Gapless to Rigid
2022-07-13,Gapless,0.020882080473373577,0.9793344404145199,0.01,0.761553341706054,Regime changed from Rigid to Gapless
2022-07-15,Rigid,0.03109411532118592,0.9693843348646082,0.01,1.1339783629526923,Regime changed from Gapless to Rigid
2022-07-18,Gapless,0.014343347402495543,0.9857590283500373,0.01,0.5230907983306246,Regime changed from Rigid to Gapless
2022-10-03,Rigid,0.02799933160755048,0.9723890167385064,0.01,1.0211139918962875,Regime changed from Gapless to Rigid
2022-10-04,Gapless,0.022262774238806297,0.9779832124890078,0.01,0.8119061766296967,Regime changed from Rigid to Gapless
2022-10-06,Rigid,0.030700916436646707,0.9697655706495977,0.01,1.1196387034126505,Regime changed from Gapless to Rigid
2022-10-18,Gapless,0.026986633162012868,0.973374252373312,0.01,0.9841816619819826,Regime changed from Rigid to Gapless
2022-10-20,Rigid,0.027430527376876984,0.9729422730574385,0.01,1.0003701410525807,Regime changed from Gapless to Rigid
2022-10-21,Gapless,0.015204152007662683,0.9849108475501918,0.01,0.5544836772373444,Regime changed from Rigid to Gapless
