window,train_start,train_end,test_start,test_end,best_capacity,train_sharpe,test_sharpe,test_return,test_baseline_sharpe,test_baseline_return,sharpe_advantage
1,2022-02-22 00:00:00+00:00,2022-08-20 00:00:00+00:00,2022-08-21 00:00:00+00:00,2022-09-19 00:00:00+00:00,0.15000000000000002,5.506079139901872,0.0,0.0,-0.39660842685956754,-0.04144629477299533,0.39660842685956754
2,2022-03-24 00:00:00+00:00,2022-09-19 00:00:00+00:00,2022-09-20 00:00:00+00:00,2022-10-19 00:00:00+00:00,0.6000000000000001,4.385195813280014,1.7304275618500355,0.02493824523991295,-0.8774608207151151,-0.017052142348013,2.6078883825651507
3,2022-04-23 00:00:00+00:00,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,2022-11-18 00:00:00+00:00,0.2,4.1669349280155465,0.0,0.0,-0.23343771613512143,-0.06861422654199412,0.23343771613512143
4,2022-05-23 00:00:00+00:00,2022-11-18 00:00:00+00:00,2022-11-19 00:00:00+00:00,2022-12-18 00:00:00+00:00,0.15000000000000002,3.876887054141598,0.0,0.0,-1.84846895263221,-0.06804237930912371,1.84846895263221
5,2022-06-22 00:00:00+00:00,2022-12-18 00:00:00+00:00,2022-12-19 00:00:00+00:00,2023-01-17 00:00:00+00:00,0.35000000000000003,3.34925821698956,-5.291502622129181,-0.006693967913097176,7.391727571744398,0.23389325672030092,-12.68323019387358
6,2022-07-22 00:00:00+00:00,2023-01-17 00:00:00+00:00,2023-01-18 00:00:00+00:00,2023-02-16 00:00:00+00:00,0.5,3.5453888656524812,-4.879206546595446,-0.09736595589003005,-2.846440926008856,-0.10900768595374921,-2.03276562058659
7,2022-08-21 00:00:00+00:00,2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,2023-03-18 00:00:00+00:00,0.5,2.2927714111735096,4.711447699810424,0.10665018514424673,-0.9570434656831416,-0.054649147059044334,5.668491165493566
8,2022-09-20 00:00:00+00:00,2023-03-18 00:00:00+00:00,2023-03-19 00:00:00+00:00,2023-04-17 00:00:00+00:00,0.5,1.9500814669955577,5.793311471436313,0.09617269346688673,4.024530115185345,0.10744921802033014,1.768781356250968
9,2022-10-20 00:00:00+00:00,2023-04-17 00:00:00+00:00,2023-04-18 00:00:00+00:00,2023-05-17 00:00:00+00:00,0.5,2.1829219512039115,0.7277887462196017,0.011104457726984318,-1.2637425203944495,-0.015842434569912633,1.991531266614051
10,2022-11-19 00:00:00+00:00,2023-05-17 00:00:00+00:00,2023-05-18 00:00:00+00:00,2023-06-16 00:00:00+00:00,0.1,4.819431202725386,0.0,0.0,2.433167812103857,0.07629558208070808,-2.433167812103857
11,2022-12-19 00:00:00+00:00,2023-06-16 00:00:00+00:00,2023-06-17 00:00:00+00:00,2023-07-16 00:00:00+00:00,0.1,4.819431202725386,0.0,0.0,-0.05420510602576298,-0.005194690881669128,0.05420510602576298
12,2023-01-18 00:00:00+00:00,2023-07-16 00:00:00+00:00,2023-07-17 00:00:00+00:00,2023-08-15 00:00:00+00:00,0.15000000000000002,2.71707900478775,0.0,0.0,-0.05174028545371847,-0.0005733990644138931,0.05174028545371847
13,2023-02-17 00:00:00+00:00,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,2023-09-14 00:00:00+00:00,0.25,4.514270374756858,0.0,0.0,0.3238215629855804,0.004614204766534513,-0.3238215629855804
14,2023-03-19 00:00:00+00:00,2023-09-14 00:00:00+00:00,2023-09-15 00:00:00+00:00,2023-10-14 00:00:00+00:00,0.1,3.7463421195567648,0.0,0.0,1.9510645975310867,0.03256723811627249,-1.9510645975310867
15,2023-04-18 00:00:00+00:00,2023-10-14 00:00:00+00:00,2023-10-15 00:00:00+00:00,2023-11-13 00:00:00+00:00,0.30000000000000004,4.484126965000218,0.0,0.0,3.2016248658494826,0.1402789080942466,-3.2016248658494826
16,2023-05-18 00:00:00+00:00,2023-11-13 00:00:00+00:00,2023-11-14 00:00:00+00:00,2023-12-13 00:00:00+00:00,0.45,4.549426935906967,-6.872479030851718,-0.08656192772694427,1.4273753522594468,0.04279621178609516,-8.299854383111164
17,2023-06-17 00:00:00+00:00,2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,2024-01-12 00:00:00+00:00,0.55,4.0842500736056655,0.977466772003944,0.022269303282927755,0.18253378610285956,-0.00043652086712808735,0.7949329859010845
18,2023-07-17 00:00:00+00:00,2024-01-12 00:00:00+00:00,2024-01-13 00:00:00+00:00,2024-02-11 00:00:00+00:00,0.1,6.863309698725948,0.0,0.0,0.910853968295738,0.014064470307259214,-0.910853968295738
19,2023-08-16 00:00:00+00:00,2024-02-11 00:00:00+00:00,2024-02-12 00:00:00+00:00,2024-03-12 00:00:00+00:00,0.2,4.829245873936783,0.0,0.0,4.337335307769826,0.15756345378149406,-4.337335307769826
20,2023-09-15 00:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,2024-04-11 00:00:00+00:00,0.25,7.499093952358859,0.0,0.0,-1.4618211042887612,-0.06641205414920681,1.4618211042887612
21,2023-10-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,2024-04-12 00:00:00+00:00,2024-05-11 00:00:00+00:00,0.2,4.629068616888645,0.0,0.0,0.20738959220067604,0.002577702418972594,-0.20738959220067604
22,2023-11-14 00:00:00+00:00,2024-05-11 00:00:00+00:00,2024-05-12 00:00:00+00:00,2024-06-10 00:00:00+00:00,0.15000000000000002,4.604820693834555,0.0,0.0,-1.0545095656242784,-0.01796997996281935,1.0545095656242784
23,2023-12-14 00:00:00+00:00,2024-06-10 00:00:00+00:00,2024-06-11 00:00:00+00:00,2024-07-10 00:00:00+00:00,0.2,4.199845228399723,0.0,0.0,2.297513617730785,0.08618865309355206,-2.297513617730785
24,2024-01-13 00:00:00+00:00,2024-07-10 00:00:00+00:00,2024-07-11 00:00:00+00:00,2024-08-09 00:00:00+00:00,0.8500000000000001,3.7346705137295317,3.116527028155888,0.21303932013371774,3.6982740568462615,0.2760503584913392,-0.5817470286903736
25,2024-02-12 00:00:00+00:00,2024-08-09 00:00:00+00:00,2024-08-10 00:00:00+00:00,2024-09-08 00:00:00+00:00,0.2,3.609140939862282,0.0,0.0,2.7455032520919933,0.09950587329346572,-2.7455032520919933
26,2024-03-13 00:00:00+00:00,2024-09-08 00:00:00+00:00,2024-09-09 00:00:00+00:00,2024-10-08 00:00:00+00:00,0.8500000000000001,2.9965022831367354,4.718277778297977,0.1642653257864708,-6.444779886370516,-0.15203394227204625,11.163057664668493
27,2024-04-12 00:00:00+00:00,2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,2024-11-07 00:00:00+00:00,0.1,5.168816823406306,0.0,0.0,-0.28356904170538366,-0.025155194225302546,0.28356904170538366
28,2024-05-12 00:00:00+00:00,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,2024-12-07 00:00:00+00:00,0.1,5.168816823406306,0.0,0.0,4.330996867761242,0.20206496249839012,-4.330996867761242
29,2024-06-11 00:00:00+00:00,2024-12-07 00:00:00+00:00,2024-12-08 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.2,4.045585963104646,0.0,0.0,-2.7404230449908797,-0.05734984199874449,2.7404230449908797
30,2024-07-11 00:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01-07 00:00:00+00:00,2025-02-05 00:00:00+00:00,0.35000000000000003,3.4870136549178503,-5.291502622129181,-0.0198949893171253,4.01157485559559,0.18874279454402276,-9.303077477724772
31,2024-08-10 00:00:00+00:00,2025-02-05 00:00:00+00:00,2025-02-06 00:00:00+00:00,2025-03-07 00:00:00+00:00,0.15000000000000002,5.608892256075419,0.0,0.0,2.362066406640925,0.17406362143122034,-2.362066406640925
32,2024-09-09 00:00:00+00:00,2025-03-07 00:00:00+00:00,2025-03-08 00:00:00+00:00,2025-04-06 00:00:00+00:00,0.1,6.8737456841131594,0.0,0.0,1.0566183241658795,0.05086802413179359,-1.0566183241658795
33,2024-10-09 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-07 00:00:00+00:00,2025-05-06 00:00:00+00:00,0.1,8.798635985693334,0.0,0.0,1.156680815368053,0.014909549258648402,-1.156680815368053
34,2024-11-08 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,2025-06-05 00:00:00+00:00,0.1,9.041399065950266,0.0,0.0,3.1320336013664445,0.10768066704714063,-3.1320336013664445
35,2024-12-08 00:00:00+00:00,2025-06-05 00:00:00+00:00,2025-06-06 00:00:00+00:00,2025-07-05 00:00:00+00:00,0.30000000000000004,6.261584422455963,0.0,0.0,2.1389003529146304,0.0615111330659146,-2.1389003529146304
36,2025-01-07 00:00:00+00:00,2025-07-05 00:00:00+00:00,2025-07-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,0.30000000000000004,5.616222412168162,0.0,0.0,-5.127507017336224,-0.16778987275083923,5.127507017336224
37,2025-02-06 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-09-03 00:00:00+00:00,0.2,7.425163259295184,0.0,0.0,-1.0858991143490442,-0.04712636244362456,1.0858991143490442
38,2025-03-08 00:00:00+00:00,2025-09-03 00:00:00+00:00,2025-09-04 00:00:00+00:00,2025-10-03 00:00:00+00:00,0.1,11.816650536388183,0.0,0.0,-1.5123365475871138,-0.06071465956881261,1.5123365475871138
39,2025-04-07 00:00:00+00:00,2025-10-03 00:00:00+00:00,2025-10-04 00:00:00+00:00,2025-11-02 00:00:00+00:00,0.1,11.024663415740674,0.0,0.0,-8.144732549437629,-0.17398103257786623,8.144732549437629
40,2025-05-07 00:00:00+00:00,2025-11-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,2025-12-02 00:00:00+00:00,0.2,5.74592517710695,0.0,0.0,-1.9588449600822007,-0.07838922775822388,1.9588449600822007
41,2025-06-06 00:00:00+00:00,2025-12-02 00:00:00+00:00,2025-12-03 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.25,6.658834244403954,0.0,0.0,2.0364236970393255,0.01996085482832144,-2.0364236970393255
42,2025-07-06 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-31 00:00:00+00:00,0.2,6.6802585258212535,0.0,0.0,3.8371899442764357,0.19941104498648876,-3.8371899442764357
